glyph_name,ps_name,USV,sort_final,Status,Feat,Feat2
semkathFinal-syriac.fina,uni0724.fina,,390,Import,,
e-syriac,uni0725,0725,391,Import,,
e-syriac.init,uni0725.init,,392,Import,,
e-syriac.medi,uni0725.medi,,393,Import,,
e-syriac.fina,uni0725.fina,,394,Import,,
pe-syriac,uni0726,0726,395,Import,,
pe-syriac.init,uni0726.init,,396,Import,,
pe-syriac.medi,uni0726.medi,,397,Import,,
pe-syriac.fina,uni0726.fina,,398,Import,,
pe_brevebelowcomb-syriac,uni0726032E,,399,Import,,
pe_brevebelowcomb-syriac.init,uni0726032E.init,,400,Import,,
pe_brevebelowcomb-syriac.medi,uni0726032E.medi,,401,Import,,
pe_brevebelowcomb-syriac.fina,uni0726032E.fina,,402,Import,,
sadhe-syriac,uni0728,0728,407,Import,,
sadhe-syriac.fina,uni0728.fina,,408,Import,,
qaph-syriac,uni0729,0729,411,Import,,
qaph-syriac.init,uni0729.init,,412,Import,,
qaph-syriac.medi,uni0729.medi,,413,Import,,
qaph-syriac.fina,uni0729.fina,,414,Import,,
rish-syriac,uni072A,072A,415,Import,,
rish-syriac.fina,uni072A.fina,,416,Import,,
rish_dieresiscomb-syriac,uni072A0308,,417,Import,,
rish_dieresiscomb-syriac.fina,uni072A0308.fina,,418,Import,,
shin-syriac,uni072B,072B,419,Import,,
shin-syriac.init,uni072B.init,,420,Import,,
shin-syriac.medi,uni072B.medi,,421,Import,,
shin-syriac.fina,uni072B.fina,,422,Import,,
taw-syriac,uni072C,072C,423,Import,,
taw-syriac.fina,uni072C.fina,,424,Import,,
he_yudh-syriac,uni0717071D,,425,Import,ss16=1,cv38=1
he_yudh-syriac.fina,uni0717071D.fina,,426,Import,ss16=1,cv38=1
sadhe_nun-syriac,uni07280722,,427,Import,ss17=1,cv55=1
sadhe_nun-syriac.fina,uni07280722.fina,,428,Import,ss17=1,cv55=1
taw_alaph-syriac,uni072C0710,,429,Import,,
taw_alaph-syriac.fina,uni072C0710.fina,,430,Import,,
taw_alaph-syriac.triangle,uni072C0710.triangle,,431,Import,ss18=1,cv59=1
taw_alaph-syriac.fina.triangle,uni072C0710.fina.triangle,,432,Import,ss18=1,cv59=1
taw_alaph-syriac.twined,uni072C0710.twined,,433,Import,ss19=1,cv59=2
taw_alaph-syriac.fina.twined,uni072C0710.fina.twined,,434,Import,ss19=1,cv59=2
taw_yudh-syriac,uni072C071D,,435,Import,ss20=1,cv60=1
taw_yudh-syriac.fina,uni072C071D.fina,,436,Import,ss20=1,cv60=1
pthahaabove-syriac,uni0730,0730,439,Import,,
pthahabelow-syriac,uni0731,0731,440,Import,,
pthahadotted-syriac,uni0732,0732,441,Import,,
zqaphaabove-syriac,uni0733,0733,442,Import,,
zqaphabelow-syriac,uni0734,0734,443,Import,,
zqaphadotted-syriac,uni0735,0735,444,Import,,
rbasaabove-syriac,uni0736,0736,445,Import,,
rbasabelow-syriac,uni0737,0737,446,Import,,
zlamadottedhorizontal-syriac,uni0738,0738,447,Import,,
zlamadottedangular-syriac,uni0739,0739,448,Import,,
hbasaabove-syriac,uni073A,073A,449,Import,,
hbasabelow-syriac,uni073B,073B,450,Import,,
hbasaEsasadotted-syriac,uni073C,073C,451,Import,,
esasaabove-syriac,uni073D,073D,452,Import,,
esasabelow-syriac,uni073E,073E,453,Import,,
rwaha-syriac,uni073F,073F,454,Import,,
femininedot-syriac,uni0740,0740,455,Import,,
qushshaya-syriac,uni0741,0741,456,Import,,
rukkakha-syriac,uni0742,0742,457,Import,,
rukkakha-syriac.square,uni0742.square,,457.1,Import,,
twodotsverticalabove-syriac,uni0743,0743,458,Import,,
twodotsverticalbelow-syriac,uni0744,0744,459,Import,,
threedotsabove-syriac,uni0745,0745,460,Import,,
threedotsbelow-syriac,uni0746,0746,461,Import,,
obliquelineabove-syriac,uni0747,0747,462,Import,,
obliquelinebelow-syriac,uni0748,0748,463,Import,,
music-syriac,uni0749,0749,464.1,Import,,
music2-syriac,uni0749,,464.2,,,
music3-syriac,uni0749,,464.3,,,
barrekh-syriac,uni074A,074A,465,Import,,
westSyriacCross,uni2670,2670,466,Import,,
eastSyriacCross,uni2671,2671,467,Import,,
tildecomb,tildecomb,0303,500,Import,,
macroncomb,uni0304,0304,501,Import,,
dotaccentcomb,uni0307,0307,502,Import,,
dieresiscomb,uni0308,0308,503,Import,,
ringcomb,uni030A,030A,504,Import,,
minusbelowcomb,uni0320,0320,504.1,New,,
dotbelowcomb,uni0323,0323,505.1,Import,,
dotaboveleftcomb,uni1DF8,1DF8,505.2,Import,,
dotbelowleftcomb,uni1DFA,1DFA,505.3,Import,,
dieresisbelowcomb,uni0324,0324,506,Import,,
ringbelowcomb,uni0325,0325,507,Import,,
circumflexbelowcomb,uni032D,032D,508,Import,,
brevebelowcomb,uni032E,032E,509,Import,,
tildebelowcomb,uni0330,0330,510,Import,,
macronbelowcomb,uni0331,0331,511,Import,,
comma-ar,uni060C,060C,600,ImportSyrc,,
semicolon-ar,uni061B,061B,601,ImportSyrc,,
question-ar,uni061F,061F,602,ImportSyrc,,
kashida-ar,uni0640,0640,604.1,ImportSyrc,,
kashida-ar.threequarter,uni0640.threequarter,,604.2,ImportSyrc,,
kashida-ar.half,uni0640.half,,604.3,ImportSyrc,,
kashida-ar.quarter,uni0640.quarter,,604.4,ImportSyrc,,
shadda-ar,uni0651,0651,611,ImportSyrc,,
enquad,uni2000,2000,700,Req,,
emquad,uni2001,2001,701,Req,,
enspace,uni2002,2002,702,Req,,
emspace,uni2003,2003,703,Req,,
threeperemspace,uni2004,2004,704,Req,,
fourperemspace,uni2005,2005,705,Req,,
sixperemspace,uni2006,2006,706,Req,,
figurespace,uni2007,2007,707,Req,,
punctuationspace,uni2008,2008,708,Req,,
thinspace,uni2009,2009,709,Req,,
hairspace,uni200A,200A,710,Req,,
zerowidthspace,uni200B,200B,711,Req,,
zerowidthnonjoiner,uni200C,200C,712,Req,,
zerowidthjoiner,uni200D,200D,713,Req,,
zeroWidthNoBreakSpace,uniFEFF,FEFF,714,Req,,
lefttorightmark,uni200E,200E,715,Req,,
righttoleftmark,uni200F,200F,716,Req,,
nonbreakinghyphen,uni2011,2011,717,Req,,
figuredash,figuredash,2012,718,Req,,
endash,endash,2013,719,Req,,
emdash,emdash,2014,720,Req,,
horizontalbar,uni2015,2015,721,Req,,
quoteleft,quoteleft,2018,722.1,Import,,
quoteright,quoteright,2019,723.1,Import,,
quotesinglbase,quotesinglbase,201A,724,Req,,
quotereversed,quotereversed,201B,725,???,,
quotedblleft,quotedblleft,201C,726.1,Import,,
quotedblright,quotedblright,201D,727.1,Import,,
quotedblbase,quotedblbase,201E,728,Req,,
quotedblrightreversed,quotedblrightreversed,201F,729,???,,
dagger,dagger,2020,730,Req,,
daggerdbl,daggerdbl,2021,730,Req,,
bullet,bullet,2022,731,Req,,
ellipsis,ellipsis,2026,732,Req,,
hyphenationpoint,uni2027,2027,733,Req,,
lineseparator,uni2028,2028,734,Req,,
paragraphseparator,uni2029,2029,735,Req,,
lefttorightembedding,uni202A,202A,736,Req,,
righttoleftembedding,uni202B,202B,736,Req,,
popdirectionalformatting,uni202C,202C,738,Req,,
lefttorightoverride,uni202D,202D,739,Req,,
righttoleftoverride,uni202E,202E,740,Req,,
mark-ar,uni061C,061C,740.1,,,
narrownbspace,uni202F,202F,741,Req,,
perthousand,perthousand,2030,742,Req,,
guilsinglleft,guilsinglleft,2039,743,Req,,
guilsinglright,guilsinglright,203A,744,Req,,
fraction,fraction,2044,745,Req,,
wordjoiner,uni2060,2060,746,Req,,
lefttorightisolate,uni2066,2066,750,Req,,
righttoleftisolate,uni2067,2067,751,Req,,
firststrongisolate,uni2068,2068,752,Req,,
popdirectionalisolate,uni2069,2069,753,Req,,
inhibitformshaping-ar,uni206C,206C,754,RTL,,
activateformshaping-ar,uni206D,206D,755,RTL,,
euro,Euro,20AC,756,Req,,
trademark,trademark,2122,757,Req,,
Ohm,Omega,2126,758,Req,,
partialdiff,partialdiff,2202,759.1,Req,,
partialdiff.rtl,partialdiff.rtl,,759.2,RTL,,
increment,Delta,2206,760,Req,,
product,product,220F,761,Req,,
summation,summation,2211,762.1,Req,,
summation.rtl,summation.rtl,,762.2,RTL,,
minus,minus,2212,763,???,,
divisionslash,uni2215,2215,764,???,,
reverseSolidusOperator,uni29F5,29F5,765,???,,
bulletoperator,uni2219,2219,765.2,Req,,
radical,radical,221A,767.1,Req,,
radical.rtl,radical.rtl,,767.2,RTL,,
infinity,infinity,221E,768,Req,,
integral,integral,222B,769.1,Req,,
integral.rtl,integral.rtl,,769.2,RTL,,
approxequal,approxequal,2248,770.1,Req,,
approxequal.rtl,approxequal.rtl,,770.2,RTL,,
notequal,notequal,2260,771.1,Req,,
notequal.rtl,notequal.rtl,,771.2,RTL,,
lessequal,lessequal,2264,772,Req,,
greaterequal,greaterequal,2265,773,Req,,
blank,uni2423,2423,774,Req,,
lozenge,lozenge,25CA,775,Req,,
dottedCircle,uni25CC,25CC,776,Req,,
sidebearingleft,uniF130,F130,777,Req,,
sidebearingright,uniF131,F131,778,Req,,
fi,uniFB01,FB01,779,Req,,
fl,uniFB02,FB02,780,Req,,
glottalstopmod,uni02C0,02C0,813,Import,,
glottalstopreversedmod,uni02C1,02C1,814,Import,,
overline,uni203E,203E,815,Import,,
ringhalfrightcentered,uni02D2,02D2,816,Import,,
ringhalfleftcentered,uni02D3,02D3,817,Import,,
VS1,uniFE00,FE00,1000,Req,,
VS2,uniFE01,FE01,1001,Req,,
VS3,uniFE02,FE02,1002,Req,,
VS4,uniFE03,FE03,1003,Req,,
VS5,uniFE04,FE04,1004,Req,,
VS6,uniFE05,FE05,1005,Req,,
VS7,uniFE06,FE06,1006,Req,,
VS8,uniFE07,FE07,1007,Req,,
VS9,uniFE08,FE08,1008,Req,,
VS10,uniFE09,FE09,1009,Req,,
VS11,uniFE0A,FE0A,1010,Req,,
VS12,uniFE0B,FE0B,1011,Req,,
VS13,uniFE0C,FE0C,1012,Req,,
VS14,uniFE0D,FE0D,1013,Req,,
VS15,uniFE0E,FE0E,1014,Req,,
VS16,uniFE0F,FE0F,1015,Req,,
objectReplacementCharacter,uniFFFC,FFFC,1016,Req,,
replacementCharacter,uniFFFD,FFFD,1017,Req,,
_beth,_beth,,1018,,,
_heth-init,_heth-init,,1019,,,
_heth-med,_heth-med,,1020,,,
_LeftTail,_LeftTail,,1021,,,
_LrgSquareDot,_LrgSquareDot,,1022,,,
_qaph,_qaph,,1023,,,
_sadhanun-syriac,_sadhanun-syriac,,1024,,,
_sadhanun-syriac.fina,_sadhanun-syriac.fina,,1025,,,
_semkath,_semkath,,1026,,,
_shin,_shin,,1027,,,
_snDotsquare,_snDotsquare,,1028,,,
_yudh-med,_yudh-med,,1029,,,
_acute,_acute,,1030,,,
_acute.case,_acute.case,,1031,,,
_breve,_breve,,1032,,,
_caron,_caron,,1033,,,
_caron.case,_caron.case,,1034,,,
_cedilla,_cedilla,,1035,,,
_cedilla.case,_cedilla.case,,1036,,,
_circumflex,_circumflex,,1037,,,
_circumflex.case,_circumflex.case,,1038,,,
_dieresis,_dieresis,,1039,,,
_dieresis.case,_dieresis.case,,1040,,,
_dot1,_dot1,,1041,,,
_dot_punct,_dot_punct,,1042,,,
_dotaccent,_dotaccent,,1043,,,
_dotaccent.i,_dotaccent.i,,1044,,,
_grave,_grave,,1045,,,
_grave.case,_grave.case,,1046,,,
_hungarumlaut,_hungarumlaut,,1047,,,
_jdotless,_jdotless,,1048,,,
_macron,_macron,,1049,,,
_ogonek,_ogonek,,1050,,,
_ringabv,_ringabv,,1051,,,
_ringabv.case,_ringabv.case,,1052,,,
_slashlong,_slashlong,,1053,,,
_slashlong.case,_slashlong.case,,1054,,,
_strokeshortcomb.case,_strokeshortcomb.case,,1055,,,
_tilde,_tilde,,1056,,,
_tilde.case,_tilde.case,,1057,,,
four.dnom,four.dnom,,1058,,,
one.numr,one.numr,,1059,,,
three.numr,three.numr,,1060,,,
two.dnom,two.dnom,,1061,,,
topleftHalfBracket,uni2E22,2E22,1062,,,
toprightHalfBracket,uni2E23,2E23,1063,,,
